,label,category,address,outgoing_txns,incoming_txns,total_eth_sent,avg_eth_sent,total_usd_sent,avg_usd_sent,total_eth_recd,avg_eth_recd,total_usd_recd,avg_usd_recd,active_months,monthly_outgoing_txns,monthly_incoming_txns,monthly_eth_sent,monthly_usd_sent,monthly_eth_recd,monthly_usd_recd,contracts_created,contract_txns_sent,incoming_avg_time_btwn_txns,incoming_std_time_btwn_txns,outgoing_avg_time_btwn_txns,outgoing_std_time_btwn_txns,num_tokens_used,eth_balance,cluster
0,Bgogo_1,Exchange,0x7a10ec7d68a048bdae36a70e93532d31423170fa,4634,42,55512.9469664,11.979487908,11934494.804898284,2575.4196816785125,58124.066213484,1383.906338416,12488926.173768954,297355.38508973696,3,1544.6666666666667,14.0,18504.315655467,3978164.934966095,19374.688737828,4162975.391256318,0,0,138368.95121951215,140973.95081892813,1257.4245629181974,4127.817339452571,5,486.335359084,101
1,Bgogo_2,Exchange,0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,36,5043,57900,1608.333333333,12488531.0,346903.63888888905,61671.7841197,12.229185826,13254872.619231598,2628.3705372261993,3,12.0,1681.0,19300,4162843.6666666665,20557.261373233,4418290.8730772,0,0,923.4071796905988,18807.43692227129,137318.3142857143,143579.4986393112,16,4361.036312862,101
2,Rate3_Wallet2,ICO Wallets,0x841991ffe0dafd619bc517d82ee4700c37136140,7,5,5040,720,1877741.1999999997,268248.7428571429,9684.7308,1936.94616,4048955.956948,809791.1913896,5,1.4,1.0,1008,375548.23999999993,1936.94616,809791.1913896,0,0,1017962.75,1390812.796456656,717166.0,1001969.7270081567,3,4644.727651874,1
3,Bitmax_1,Exchange,0x03bdf69b1322d623836afbd27679a1c0afa067e9,1061,1081,3348.282084541,3.155779533,779894.9312474822,735.0564856243982,6077.344511858,5.621965321,1374003.199488838,1271.0482881487894,5,212.2,216.2,669.656416908,155978.98624949643,1215.468902372,274800.63989776757,0,0,9625.877777777778,65932.08127704986,9759.73773584906,53139.93862826313,13,3871.119196898,100
4,Bitmax_2,Exchange,0x4b1a99467a284cc690e3237bc69105956816f762,3,1303,260,86.666666667,50970.399999999994,16990.13333333333,2958.985716476,2.270902315,804324.4145231864,617.2865806010643,5,0.6,260.6,52,10194.079999999998,591.797143295,160864.88290463728,0,0,8146.991551459295,138671.90973881283,1307516.0,1848833.9170022816,3,2698.982399248,6
5,BigONE_1,Exchange,0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,18665,13530,146649.064314301,7.856901383,55047606.1072028,2949.2422237986384,157472.714797711,11.638781582,57906452.54650094,4279.856064042906,6,3110.8333333333335,2255.0,24441.51071905,9174601.017867133,26245.452466285,9651075.424416823,0,0,968.6475718826222,2607.5009350672544,701.8619802828977,1844.9941809247553,161,10262.461085817,101
6,Coinrail_Hack,Heist,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,5,4,1693.512132673,338.702426535,376081.96449908323,75216.39289981665,8947,2236.75,3376621.73,844155.4325000001,6,0.8333333333333334,0.6666666666666666,282.252022112,62680.32741651387,1491.166666667,562770.2883333333,0,0,2722357.3333333335,2854648.1072483053,2040091.25,3271048.9044507192,3,7446.134010779,1
7,Coinrail_Hack,Phish/Hack,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,5,4,1693.512132673,338.702426535,376081.96449908323,75216.39289981665,8947,2236.75,3376621.73,844155.4325000001,6,0.8333333333333334,0.6666666666666666,282.252022112,62680.32741651387,1491.166666667,562770.2883333333,0,0,2722357.3333333335,2854648.1072483053,2040091.25,3271048.9044507192,3,7446.134010779,1
8,Fake_Phishing1431,Phish/Hack,0xdf9191889649c442836ef55de5036a7b694115b6,9,7,13747,1527.444444444,4363485.73,484831.7477777778,15526.883550987,2218.12622157,3810762.8621220975,544394.6945888711,6,1.5,1.1666666666666667,2291.166666667,727247.6216666667,2587.813925165,635127.1436870162,0,0,1372057.0,2722141.4961033897,1035478.25,1945720.079980068,15,11371.001874184,1
9,IDEX_2,Dex,0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,217,126,0,0,0.0,0.0,4442.599147341,35.258723392,1742242.925674053,13827.324806936933,7,31.0,18.0,0,0.0,634.657021049,248891.8465248647,0,0,112866.90399999998,231875.27423423217,8.412037037037035,34.102876418525554,22,118.957424939,5
